,Year,Month,Day,Hour,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2011-01-01 00:00:00,2011.0,1.0,1.0,0.0,8.34075,98.8891666667,8.31358333333,94950.6486667,265.883833333,1.227
2011-01-01 01:00:00,2011.0,1.0,1.0,1.0,8.3775,99.2439166667,8.40791666667,94949.5026667,265.649666667,1.227
2011-01-01 02:00:00,2011.0,1.0,1.0,2.0,8.42,99.1028333333,8.51325,94942.408,265.633583333,1.2265
2011-01-01 03:00:00,2011.0,1.0,1.0,3.0,8.35708333333,100.571583333,8.35441666667,94955.8353333,265.513583333,1.227
2011-01-01 04:00:00,2011.0,1.0,1.0,4.0,8.62583333333,98.6821666667,9.03833333333,94979.716,265.539583333,1.22666666667
2011-01-01 05:00:00,2011.0,1.0,1.0,5.0,8.28925,103.128166667,8.1885,95012.0673333,265.19075,1.2285
2011-01-01 06:00:00,2011.0,1.0,1.0,6.0,8.08266666667,105.359416667,7.66658333333,95034.1906667,264.9065,1.23
2011-01-01 07:00:00,2011.0,1.0,1.0,7.0,8.06616666667,106.381583333,7.632,95067.686,264.705166667,1.23141666667
2011-01-01 08:00:00,2011.0,1.0,1.0,8.0,8.00508333333,108.132583333,7.48708333333,95131.926,264.849416667,1.23375
2011-01-01 09:00:00,2011.0,1.0,1.0,9.0,7.76658333333,110.517,6.8825,95185.0286667,265.219583333,1.23575
2011-01-01 10:00:00,2011.0,1.0,1.0,10.0,7.42508333333,113.614416667,6.00783333333,95218.676,265.601583333,1.23691666667
2011-01-01 11:00:00,2011.0,1.0,1.0,11.0,7.445,111.889166667,6.05041666667,95243.1653333,266.152833333,1.23508333333
2011-01-01 12:00:00,2011.0,1.0,1.0,12.0,7.21125,114.720583333,5.48875,95259.1133333,266.610583333,1.23366666667
2011-01-01 13:00:00,2011.0,1.0,1.0,13.0,6.805,114.269,4.64316666667,95264.6833333,266.879833333,1.23216666667
2011-01-01 14:00:00,2011.0,1.0,1.0,14.0,6.8855,113.071333333,4.8025,95239.2766667,266.867416667,1.23091666667
2011-01-01 15:00:00,2011.0,1.0,1.0,15.0,7.24941666667,118.269833333,5.5725,95238.5906667,266.314416667,1.229
2011-01-01 16:00:00,2011.0,1.0,1.0,16.0,7.72283333333,115.637916667,6.733,95247.6693333,266.05625,1.22883333333
2011-01-01 17:00:00,2011.0,1.0,1.0,17.0,7.9555,118.358,7.3375,95265.9053333,265.852166667,1.22983333333
2011-01-01 18:00:00,2011.0,1.0,1.0,18.0,7.57341666667,120.558333333,6.34658333333,95269.0346667,265.871833333,1.22858333333
2011-01-01 19:00:00,2011.0,1.0,1.0,19.0,6.76625,127.946833333,4.54925,95276.5093333,265.919416667,1.22733333333
2011-01-01 20:00:00,2011.0,1.0,1.0,20.0,6.45283333333,132.275916667,3.90475,95300.314,265.911916667,1.22716666667
2011-01-01 21:00:00,2011.0,1.0,1.0,21.0,6.08833333333,135.093916667,3.25883333333,95317.1746667,265.815333333,1.22858333333
2011-01-01 22:00:00,2011.0,1.0,1.0,22.0,5.80366666667,135.773666667,2.80616666667,95327.322,265.798,1.22925
2011-01-01 23:00:00,2011.0,1.0,1.0,23.0,5.413,136.82775,2.20125,95332.5866667,265.704583333,1.22966666667
2011-01-02 00:00:00,2011.0,1.0,2.0,0.0,4.89041666667,135.471166667,1.5385,95339.3753333,265.652166667,1.22966666667
2011-01-02 01:00:00,2011.0,1.0,2.0,1.0,4.47466666667,133.088,1.07608333333,95327.6273333,265.608166667,1.22925
2011-01-02 02:00:00,2011.0,1.0,2.0,2.0,4.54708333333,130.12,1.15583333333,95317.7853333,265.56925,1.229
2011-01-02 03:00:00,2011.0,1.0,2.0,3.0,4.33441666667,128.322416667,0.920416666667,95324.4226667,265.68075,1.22875
2011-01-02 04:00:00,2011.0,1.0,2.0,4.0,4.51566666667,128.942,1.12058333333,95342.048,265.657916667,1.22883333333
2011-01-02 05:00:00,2011.0,1.0,2.0,5.0,5.385,127.845333333,2.19991666667,95357.6106667,265.626,1.2285
2011-01-02 06:00:00,2011.0,1.0,2.0,6.0,6.42366666667,129.41975,3.86291666667,95356.848,265.3795,1.2295
2011-01-02 07:00:00,2011.0,1.0,2.0,7.0,6.64241666667,129.380083333,4.30116666667,95367.1493333,265.3525,1.2295
2011-01-02 08:00:00,2011.0,1.0,2.0,8.0,6.60991666667,127.222166667,4.23933333333,95402.7013333,265.46675,1.23091666667
2011-01-02 09:00:00,2011.0,1.0,2.0,9.0,6.97241666667,127.43525,4.98825,95430.2446667,265.77025,1.2325
2011-01-02 10:00:00,2011.0,1.0,2.0,10.0,7.14841666667,121.656083333,5.353,95434.8993333,266.44625,1.23366666667
2011-01-02 11:00:00,2011.0,1.0,2.0,11.0,7.19358333333,117.175166667,5.44091666667,95439.782,267.039333333,1.23233333333
2011-01-02 12:00:00,2011.0,1.0,2.0,12.0,7.72641666667,117.616833333,6.74875,95432.764,267.465916667,1.23016666667
2011-01-02 13:00:00,2011.0,1.0,2.0,13.0,8.24291666667,115.771916667,8.06075,95400.1106667,267.892166667,1.22683333333
2011-01-02 14:00:00,2011.0,1.0,2.0,14.0,8.53366666667,116.918083333,8.794,95353.5693333,267.798166667,1.22508333333
2011-01-02 15:00:00,2011.0,1.0,2.0,15.0,8.90425,115.3925,9.72358333333,95330.0686667,267.299416667,1.223
2011-01-02 16:00:00,2011.0,1.0,2.0,16.0,9.47316666667,111.509583333,11.112,95327.3993333,266.966083333,1.22475
2011-01-02 17:00:00,2011.0,1.0,2.0,17.0,9.67533333333,111.9805,11.4854166667,95337.7753333,266.829166667,1.22516666667
2011-01-02 18:00:00,2011.0,1.0,2.0,18.0,9.37291666667,114.828583333,10.8870833333,95336.022,266.626666667,1.22575
2011-01-02 19:00:00,2011.0,1.0,2.0,19.0,9.0765,114.0435,10.1806666667,95331.1373333,266.56225,1.22591666667
2011-01-02 20:00:00,2011.0,1.0,2.0,20.0,8.80075,113.43975,9.47416666667,95347.4653333,266.62325,1.225
2011-01-02 21:00:00,2011.0,1.0,2.0,21.0,8.32991666667,113.600083333,8.27158333333,95364.4026667,266.6235,1.22475
2011-01-02 22:00:00,2011.0,1.0,2.0,22.0,7.99066666667,114.28475,7.40125,95369.516,266.546,1.225
2011-01-02 23:00:00,2011.0,1.0,2.0,23.0,8.04525,116.52125,7.54541666667,95391.8673333,266.418583333,1.22583333333
2011-01-03 00:00:00,2011.0,1.0,3.0,0.0,7.64383333333,118.882333333,6.51816666667,95408.2733333,266.268333333,1.22658333333
2011-01-03 01:00:00,2011.0,1.0,3.0,1.0,7.05525,120.831416667,5.14525,95412.164,266.129083333,1.22741666667
2011-01-03 02:00:00,2011.0,1.0,3.0,2.0,6.69175,121.39025,4.39308333333,95398.5066667,266.064916667,1.22716666667
2011-01-03 03:00:00,2011.0,1.0,3.0,3.0,6.42616666667,122.049583333,3.8475,95400.568,266.134083333,1.22633333333
2011-01-03 04:00:00,2011.0,1.0,3.0,4.0,6.525,121.981916667,4.05191666667,95415.1393333,266.06425,1.227
2011-01-03 05:00:00,2011.0,1.0,3.0,5.0,6.79916666667,120.496833333,4.61191666667,95433.9833333,266.128583333,1.227
2011-01-03 06:00:00,2011.0,1.0,3.0,6.0,6.91175,120.920333333,4.84491666667,95440.3926667,266.003083333,1.22758333333
2011-01-03 07:00:00,2011.0,1.0,3.0,7.0,7.08016666667,122.878,5.19383333333,95454.5093333,265.866083333,1.22866666667
2011-01-03 08:00:00,2011.0,1.0,3.0,8.0,6.95833333333,124.6125,4.95366666667,95500.6653333,266.0,1.23116666667
2011-01-03 09:00:00,2011.0,1.0,3.0,9.0,6.56125,124.075583333,4.14583333333,95542.4766667,266.5085,1.23275
2011-01-03 10:00:00,2011.0,1.0,3.0,10.0,6.11916666667,122.6705,3.31508333333,95555.1433333,266.965666667,1.23425
2011-01-03 11:00:00,2011.0,1.0,3.0,11.0,6.0065,123.221416667,3.13266666667,95549.7253333,267.376916667,1.23358333333
2011-01-03 12:00:00,2011.0,1.0,3.0,12.0,5.8805,120.712916667,2.93041666667,95539.4266667,267.889916667,1.23108333333
2011-01-03 13:00:00,2011.0,1.0,3.0,13.0,6.00591666667,121.17925,3.119,95518.6746667,268.225583333,1.22858333333
2011-01-03 14:00:00,2011.0,1.0,3.0,14.0,6.08866666667,122.507583333,3.24075,95477.932,268.252166667,1.22608333333
2011-01-03 15:00:00,2011.0,1.0,3.0,15.0,6.0755,125.242333333,3.21416666667,95452.6766667,267.783083333,1.22341666667
2011-01-03 16:00:00,2011.0,1.0,3.0,16.0,6.23525,127.03375,3.46383333333,95448.1746667,267.416666667,1.2225
2011-01-03 17:00:00,2011.0,1.0,3.0,17.0,6.21533333333,130.181416667,3.4305,95446.5733333,267.445833333,1.222
2011-01-03 18:00:00,2011.0,1.0,3.0,18.0,6.34416666667,133.59275,3.66558333333,95434.596,267.356833333,1.22258333333
2011-01-03 19:00:00,2011.0,1.0,3.0,19.0,6.11041666667,139.16375,3.268,95427.1946667,267.259166667,1.22341666667
2011-01-03 20:00:00,2011.0,1.0,3.0,20.0,5.38175,141.795416667,2.18625,95446.1913333,267.088,1.224
2011-01-03 21:00:00,2011.0,1.0,3.0,21.0,4.29891666667,142.255916667,0.906083333333,95457.8653333,266.9395,1.22458333333
2011-01-03 22:00:00,2011.0,1.0,3.0,22.0,3.25775,140.860833333,0.196166666667,95463.818,266.752083333,1.22541666667
2011-01-03 23:00:00,2011.0,1.0,3.0,23.0,2.36083333333,133.570083333,0.0201666666667,95464.8093333,266.506416667,1.22666666667
2011-01-04 00:00:00,2011.0,1.0,4.0,0.0,1.8755,122.2095,0.0,95463.3573333,266.008333333,1.22791666667
2011-01-04 01:00:00,2011.0,1.0,4.0,1.0,1.98925,118.915666667,0.0,95456.492,265.6505,1.22808333333
2011-01-04 02:00:00,2011.0,1.0,4.0,2.0,1.8525,110.025166667,0.0,95433.6793333,265.561416667,1.22941666667
2011-01-04 03:00:00,2011.0,1.0,4.0,3.0,1.59375,109.659,0.0,95424.144,265.394333333,1.23083333333
2011-01-04 04:00:00,2011.0,1.0,4.0,4.0,1.47525,114.557083333,0.0,95424.0686667,265.174416667,1.231
2011-01-04 05:00:00,2011.0,1.0,4.0,5.0,1.46333333333,119.928916667,0.0,95419.3353333,264.949083333,1.231
2011-01-04 06:00:00,2011.0,1.0,4.0,6.0,1.6955,131.639083333,0.0,95402.6266667,264.754166667,1.23066666667
2011-01-04 07:00:00,2011.0,1.0,4.0,7.0,1.4905,133.19125,0.0,95391.9446667,264.699583333,1.23
2011-01-04 08:00:00,2011.0,1.0,4.0,8.0,1.1385,130.58825,0.0,95406.0606667,265.412666667,1.23008333333
2011-01-04 09:00:00,2011.0,1.0,4.0,9.0,1.11708333333,137.488916667,0.0,95410.79,266.8825,1.23033333333
2011-01-04 10:00:00,2011.0,1.0,4.0,10.0,0.658333333333,129.361,0.0,95394.7666667,267.5395,1.22916666667
2011-01-04 11:00:00,2011.0,1.0,4.0,11.0,0.332583333333,175.270416667,0.0,95373.9386667,268.582166667,1.225
2011-01-04 12:00:00,2011.0,1.0,4.0,12.0,0.94825,205.913416667,0.0,95358.6053333,269.446833333,1.21958333333
2011-01-04 13:00:00,2011.0,1.0,4.0,13.0,1.71891666667,225.509083333,0.0,95342.6593333,270.130416667,1.214
2011-01-04 14:00:00,2011.0,1.0,4.0,14.0,2.05866666667,245.883416667,0.000416666666667,95313.2093333,270.636916667,1.20758333333
2011-01-04 15:00:00,2011.0,1.0,4.0,15.0,2.2415,265.164333333,0.00975,95295.5086667,270.82075,1.20391666667
2011-01-04 16:00:00,2011.0,1.0,4.0,16.0,2.72925,278.522,0.0446666666667,95297.188,270.93325,1.20225
2011-01-04 17:00:00,2011.0,1.0,4.0,17.0,3.15591666667,275.324083333,0.12425,95303.292,271.323,1.20175
2011-01-04 18:00:00,2011.0,1.0,4.0,18.0,4.09475,274.375666667,0.688916666667,95296.8826667,271.539666667,1.20008333333
2011-01-04 19:00:00,2011.0,1.0,4.0,19.0,4.4335,276.664583333,0.989833333333,95282.2353333,271.829833333,1.19883333333
2011-01-04 20:00:00,2011.0,1.0,4.0,20.0,4.28408333333,281.28475,0.833583333333,95297.4186667,271.979916667,1.198
2011-01-04 21:00:00,2011.0,1.0,4.0,21.0,3.95266666667,287.889666667,0.58,95312.2186667,272.155916667,1.1975
2011-01-04 22:00:00,2011.0,1.0,4.0,22.0,3.78541666667,283.382583333,0.473166666667,95312.906,272.3805,1.19608333333
2011-01-04 23:00:00,2011.0,1.0,4.0,23.0,3.37533333333,277.611166667,0.246,95332.5133333,272.471333333,1.19683333333
2011-01-05 00:00:00,2011.0,1.0,5.0,0.0,3.08683333333,275.564916667,0.07925,95352.8853333,272.6135,1.197
2011-01-05 01:00:00,2011.0,1.0,5.0,1.0,3.00633333333,268.975,0.0701666666667,95370.2046667,272.722,1.197
2011-01-05 02:00:00,2011.0,1.0,5.0,2.0,3.62083333333,296.538833333,0.369583333333,95379.0533333,272.74175,1.19725
2011-01-05 03:00:00,2011.0,1.0,5.0,3.0,3.63925,308.4685,0.380333333333,95382.8693333,272.802416667,1.19558333333
2011-01-05 04:00:00,2011.0,1.0,5.0,4.0,3.5335,311.38475,0.312333333333,95394.162,272.937333333,1.194
2011-01-05 05:00:00,2011.0,1.0,5.0,5.0,3.84141666667,306.618833333,0.541166666667,95405.2266667,273.099,1.19458333333
2011-01-05 06:00:00,2011.0,1.0,5.0,6.0,4.94858333333,305.243583333,1.54383333333,95420.1786667,273.065916667,1.193
2011-01-05 07:00:00,2011.0,1.0,5.0,7.0,5.1345,302.875416667,1.76458333333,95443.6006667,273.05425,1.1935
2011-01-05 08:00:00,2011.0,1.0,5.0,8.0,6.15566666667,313.041,3.27425,95496.702,273.41625,1.196
2011-01-05 09:00:00,2011.0,1.0,5.0,9.0,5.58283333333,313.55675,2.39141666667,95540.954,274.293333333,1.19866666667
2011-01-05 10:00:00,2011.0,1.0,5.0,10.0,4.978,308.155416667,1.58608333333,95567.9633333,274.599583333,1.19941666667
2011-01-05 11:00:00,2011.0,1.0,5.0,11.0,4.59408333333,299.893583333,1.16533333333,95579.102,275.219416667,1.19725
2011-01-05 12:00:00,2011.0,1.0,5.0,12.0,3.57641666667,285.539583333,0.339916666667,95580.018,276.122,1.19441666667
2011-01-05 13:00:00,2011.0,1.0,5.0,13.0,2.95308333333,280.697083333,0.0621666666667,95588.258,276.647083333,1.19241666667
2011-01-05 14:00:00,2011.0,1.0,5.0,14.0,2.56733333333,276.949583333,0.0326666666667,95567.1253333,276.361416667,1.19191666667
2011-01-05 15:00:00,2011.0,1.0,5.0,15.0,2.462,267.120166667,0.0248333333333,95563.616,274.35675,1.19158333333
2011-01-05 16:00:00,2011.0,1.0,5.0,16.0,3.19216666667,282.053,0.127,95581.24,273.753916667,1.19025
2011-01-05 17:00:00,2011.0,1.0,5.0,17.0,2.90791666667,293.815416667,0.0568333333333,95600.162,273.906333333,1.19066666667
2011-01-05 18:00:00,2011.0,1.0,5.0,18.0,3.52833333333,294.697916667,0.309833333333,95611.8346667,274.135083333,1.191
2011-01-05 19:00:00,2011.0,1.0,5.0,19.0,3.8265,292.207333333,0.495916666667,95630.91,274.14375,1.19158333333
2011-01-05 20:00:00,2011.0,1.0,5.0,20.0,3.67375,291.07375,0.39975,95658.4506667,274.1535,1.19258333333
2011-01-05 21:00:00,2011.0,1.0,5.0,21.0,3.43216666667,292.500916667,0.247083333333,95675.9233333,274.198666667,1.19216666667
2011-01-05 22:00:00,2011.0,1.0,5.0,22.0,3.56066666667,297.242333333,0.327833333333,95679.3566667,274.365,1.19141666667
2011-01-05 23:00:00,2011.0,1.0,5.0,23.0,3.291,299.365583333,0.156666666667,95681.4946667,274.514583333,1.19041666667
2011-01-06 00:00:00,2011.0,1.0,6.0,0.0,3.36241666667,298.37375,0.201416666667,95678.0606667,274.55925,1.18958333333
2011-01-06 01:00:00,2011.0,1.0,6.0,1.0,3.461,300.972583333,0.262916666667,95652.8073333,274.527916667,1.18841666667
2011-01-06 02:00:00,2011.0,1.0,6.0,2.0,3.54516666667,304.98475,0.315416666667,95604.7413333,274.29725,1.187
2011-01-06 03:00:00,2011.0,1.0,6.0,3.0,3.53775,310.151666667,0.31075,95571.6273333,274.293416667,1.187
2011-01-06 04:00:00,2011.0,1.0,6.0,4.0,3.93625,304.840833333,0.562166666667,95554.4606667,273.97475,1.18691666667
2011-01-06 05:00:00,2011.0,1.0,6.0,5.0,4.41833333333,303.341583333,0.955416666667,95535.3113333,273.696416667,1.18558333333
2011-01-06 06:00:00,2011.0,1.0,6.0,6.0,4.67866666667,295.414833333,1.24408333333,95523.0253333,273.654583333,1.18208333333
2011-01-06 07:00:00,2011.0,1.0,6.0,7.0,3.05341666667,292.135333333,0.108833333333,95518.9833333,274.0555,1.18375
2011-01-06 08:00:00,2011.0,1.0,6.0,8.0,3.79475,296.500416667,0.476583333333,95541.0326667,274.564333333,1.186
2011-01-06 09:00:00,2011.0,1.0,6.0,9.0,4.61441666667,292.465333333,1.16975,95551.7893333,276.566916667,1.18583333333
2011-01-06 10:00:00,2011.0,1.0,6.0,10.0,4.58091666667,283.4785,1.13058333333,95537.064,277.875416667,1.18425
2011-01-06 11:00:00,2011.0,1.0,6.0,11.0,3.77308333333,268.868416667,0.460833333333,95512.4973333,278.895833333,1.18141666667
2011-01-06 12:00:00,2011.0,1.0,6.0,12.0,3.37941666667,256.936416667,0.205416666667,95479.386,279.773416667,1.17808333333
2011-01-06 13:00:00,2011.0,1.0,6.0,13.0,4.2925,256.2895,0.862583333333,95443.832,280.098833333,1.17558333333
2011-01-06 14:00:00,2011.0,1.0,6.0,14.0,5.25358333333,264.187,1.86358333333,95395.6133333,279.236583333,1.17375
2011-01-06 15:00:00,2011.0,1.0,6.0,15.0,5.4695,267.02925,2.157,95364.3313333,276.591333333,1.17333333333
2011-01-06 16:00:00,2011.0,1.0,6.0,16.0,5.2565,264.741583333,1.86716666667,95347.3166667,275.190166667,1.174
2011-01-06 17:00:00,2011.0,1.0,6.0,17.0,4.44075,264.749833333,1.0025,95328.624,275.381416667,1.17483333333
2011-01-06 18:00:00,2011.0,1.0,6.0,18.0,3.65991666667,266.882333333,0.380333333333,95293.528,275.652666667,1.176
2011-01-06 19:00:00,2011.0,1.0,6.0,19.0,3.96191666667,279.729416667,0.570333333333,95260.1866667,275.769166667,1.17558333333
2011-01-06 20:00:00,2011.0,1.0,6.0,20.0,3.75833333333,286.984583333,0.441416666667,95236.9186667,275.823166667,1.17433333333
2011-01-06 21:00:00,2011.0,1.0,6.0,21.0,3.45283333333,294.44825,0.249666666667,95221.0506667,275.793833333,1.175
2011-01-06 22:00:00,2011.0,1.0,6.0,22.0,3.23158333333,293.791833333,0.110583333333,95194.3426667,275.593333333,1.17533333333
2011-01-06 23:00:00,2011.0,1.0,6.0,23.0,3.46241666667,288.609333333,0.255666666667,95175.116,275.284666667,1.175
2011-01-07 00:00:00,2011.0,1.0,7.0,0.0,3.56175,286.55,0.31825,95161.156,275.019916667,1.175
2011-01-07 01:00:00,2011.0,1.0,7.0,1.0,3.44325,287.18975,0.24375,95125.6766667,274.9385,1.17558333333
2011-01-07 02:00:00,2011.0,1.0,7.0,2.0,3.40841666667,289.6235,0.22175,95068.378,274.769166667,1.17525
2011-01-07 03:00:00,2011.0,1.0,7.0,3.0,3.3685,282.486666667,0.198083333333,95038.1666667,274.6875,1.17758333333
2011-01-07 04:00:00,2011.0,1.0,7.0,4.0,4.33991666667,285.01825,1.005,95013.446,274.491166667,1.17891666667
2011-01-07 05:00:00,2011.0,1.0,7.0,5.0,5.65975,277.24525,2.45608333333,94999.1006667,274.359166667,1.17691666667
2011-01-07 06:00:00,2011.0,1.0,7.0,6.0,5.56325,275.119166667,2.31183333333,94979.034,274.359916667,1.17816666667
2011-01-07 07:00:00,2011.0,1.0,7.0,7.0,5.94425,278.392916667,2.89716666667,94946.0753333,274.143083333,1.179
2011-01-07 08:00:00,2011.0,1.0,7.0,8.0,6.12833333333,278.79075,3.17866666667,94941.2666667,274.336833333,1.179
2011-01-07 09:00:00,2011.0,1.0,7.0,9.0,5.66358333333,280.27625,2.46841666667,94936.3066667,276.579166667,1.17908333333
2011-01-07 10:00:00,2011.0,1.0,7.0,10.0,7.04641666667,281.805666667,5.002,94880.84,277.951583333,1.17675
2011-01-07 11:00:00,2011.0,1.0,7.0,11.0,7.62416666667,275.824916667,6.19116666667,94848.872,278.986166667,1.17375
2011-01-07 12:00:00,2011.0,1.0,7.0,12.0,8.91308333333,270.557666667,9.27841666667,94822.704,279.578166667,1.1715
2011-01-07 13:00:00,2011.0,1.0,7.0,13.0,10.7315833333,279.497916667,12.8475,94740.77,279.8775,1.169
2011-01-07 14:00:00,2011.0,1.0,7.0,14.0,9.72158333333,285.794,11.2833333333,94665.8493333,279.33175,1.16958333333
2011-01-07 15:00:00,2011.0,1.0,7.0,15.0,11.0818333333,289.071666667,13.23875,94646.1513333,278.133833333,1.17216666667
2011-01-07 16:00:00,2011.0,1.0,7.0,16.0,9.80383333333,297.777916667,11.4811666667,94715.7293333,277.114,1.17683333333
2011-01-07 17:00:00,2011.0,1.0,7.0,17.0,9.93191666667,293.743083333,11.7144166667,94678.048,276.6955,1.17825
2011-01-07 18:00:00,2011.0,1.0,7.0,18.0,9.54366666667,285.969166667,10.9535833333,94648.4493333,276.362583333,1.179
2011-01-07 19:00:00,2011.0,1.0,7.0,19.0,10.5586666667,278.98925,12.5763333333,94596.2633333,275.085416667,1.17991666667
2011-01-07 20:00:00,2011.0,1.0,7.0,20.0,12.836,275.168833333,13.9685,94554.6093333,274.849083333,1.18141666667
2011-01-07 21:00:00,2011.0,1.0,7.0,21.0,13.2700833333,277.826583333,14.0,94554.1493333,274.496166667,1.18225
2011-01-07 22:00:00,2011.0,1.0,7.0,22.0,13.1790833333,281.027083333,14.0,94556.0546667,274.142333333,1.183
2011-01-07 23:00:00,2011.0,1.0,7.0,23.0,13.5891666667,282.204416667,14.0,94569.0953333,273.668083333,1.18433333333
2011-01-08 00:00:00,2011.0,1.0,8.0,0.0,14.53175,280.902583333,14.0,94615.5566667,273.18375,1.18766666667
2011-01-08 01:00:00,2011.0,1.0,8.0,1.0,13.2663333333,280.899666667,13.976,94672.624,272.495083333,1.19125
2011-01-08 02:00:00,2011.0,1.0,8.0,2.0,9.42175,289.589,10.2821666667,94684.376,271.072916667,1.1945
2011-01-08 03:00:00,2011.0,1.0,8.0,3.0,7.45258333333,299.411666667,5.93966666667,94736.1073333,270.878833333,1.19633333333
2011-01-08 04:00:00,2011.0,1.0,8.0,4.0,7.32816666667,291.14875,5.7255,94799.968,270.705916667,1.19741666667
2011-01-08 05:00:00,2011.0,1.0,8.0,5.0,7.35825,284.2015,5.70008333333,94814.3833333,271.384666667,1.198
2011-01-08 06:00:00,2011.0,1.0,8.0,6.0,8.17491666667,284.75575,7.71875,94783.332,270.803,1.198
2011-01-08 07:00:00,2011.0,1.0,8.0,7.0,7.95383333333,280.811333333,7.15741666667,94771.5826667,270.719166667,1.19866666667
2011-01-08 08:00:00,2011.0,1.0,8.0,8.0,8.7085,280.934833333,9.0755,94784.6306667,271.669583333,1.1985
2011-01-08 09:00:00,2011.0,1.0,8.0,9.0,9.57233333333,283.89675,11.0789166667,94795.7673333,273.537333333,1.19591666667
2011-01-08 10:00:00,2011.0,1.0,8.0,10.0,10.9098333333,288.613916667,13.1535,94753.1206667,274.3825,1.19325
2011-01-08 11:00:00,2011.0,1.0,8.0,11.0,11.0568333333,289.2995,13.27275,94737.56,275.041083333,1.19058333333
2011-01-08 12:00:00,2011.0,1.0,8.0,12.0,11.73975,287.292166667,13.6389166667,94725.3526667,275.434166667,1.18866666667
2011-01-08 13:00:00,2011.0,1.0,8.0,13.0,11.7024166667,283.776333333,13.6640833333,94677.4386667,275.44375,1.188
2011-01-08 14:00:00,2011.0,1.0,8.0,14.0,10.78275,284.074333333,13.0405833333,94661.8746667,275.01175,1.18825
2011-01-08 15:00:00,2011.0,1.0,8.0,15.0,11.5280833333,283.766916667,13.5884166667,94655.8466667,273.82975,1.19033333333
2011-01-08 16:00:00,2011.0,1.0,8.0,16.0,13.8001666667,284.38,14.0,94627.234,272.6145,1.19216666667
2011-01-08 17:00:00,2011.0,1.0,8.0,17.0,14.0126666667,286.9965,14.0,94623.2646667,272.3865,1.19291666667
2011-01-08 18:00:00,2011.0,1.0,8.0,18.0,12.79325,287.660833333,13.6599166667,94621.8213333,271.7385,1.19541666667
2011-01-08 19:00:00,2011.0,1.0,8.0,19.0,6.50508333333,297.016583333,4.131,94639.594,270.408416667,1.19725
2011-01-08 20:00:00,2011.0,1.0,8.0,20.0,4.4265,308.1945,1.08575,94654.3173333,270.356166667,1.19841666667
2011-01-08 21:00:00,2011.0,1.0,8.0,21.0,3.23833333333,303.686333333,0.13625,94671.712,270.794583333,1.1985
2011-01-08 22:00:00,2011.0,1.0,8.0,22.0,2.48158333333,294.680916667,0.02675,94682.0133333,270.462583333,1.19816666667
2011-01-08 23:00:00,2011.0,1.0,8.0,23.0,2.12933333333,296.75875,0.0121666666667,94694.2953333,270.380416667,1.199
2011-01-09 00:00:00,2011.0,1.0,9.0,0.0,1.9605,309.546,0.001,94698.416,270.370333333,1.199
2011-01-09 01:00:00,2011.0,1.0,9.0,1.0,2.36266666667,318.329416667,0.0183333333333,94706.808,270.223333333,1.199
2011-01-09 02:00:00,2011.0,1.0,9.0,2.0,2.61683333333,316.334833333,0.0379166666667,94700.7813333,270.382583333,1.199
2011-01-09 03:00:00,2011.0,1.0,9.0,3.0,4.03108333333,313.40825,0.6595,94702.154,270.610916667,1.199
2011-01-09 04:00:00,2011.0,1.0,9.0,4.0,5.29,309.091333333,2.00233333333,94716.3446667,270.583166667,1.19908333333
2011-01-09 05:00:00,2011.0,1.0,9.0,5.0,5.44758333333,307.201666667,2.18425,94725.1973333,270.446416667,1.199
2011-01-09 06:00:00,2011.0,1.0,9.0,6.0,5.87966666667,306.058916667,2.84966666667,94731.074,270.678666667,1.19916666667
2011-01-09 07:00:00,2011.0,1.0,9.0,7.0,5.57166666667,301.53275,2.41058333333,94739.0066667,270.314833333,1.20008333333
2011-01-09 08:00:00,2011.0,1.0,9.0,8.0,5.24666666667,293.771333333,1.95791666667,94780.894,270.918666667,1.20033333333
2011-01-09 09:00:00,2011.0,1.0,9.0,9.0,4.93866666667,290.274333333,1.60183333333,94813.7773333,272.448083333,1.19991666667
2011-01-09 10:00:00,2011.0,1.0,9.0,10.0,4.895,280.196833333,1.49475,94832.6206667,273.127166667,1.199
2011-01-09 11:00:00,2011.0,1.0,9.0,11.0,5.62566666667,268.913583333,2.467,94835.7493333,273.54225,1.19775
2011-01-09 12:00:00,2011.0,1.0,9.0,12.0,6.15441666667,269.3685,3.266,94842.8453333,274.188666667,1.19508333333
2011-01-09 13:00:00,2011.0,1.0,9.0,13.0,6.74633333333,267.086583333,4.37991666667,94848.4926667,274.436166667,1.19366666667
2011-01-09 14:00:00,2011.0,1.0,9.0,14.0,5.43275,261.580083333,2.20675,94843.9913333,273.8685,1.195
2011-01-09 15:00:00,2011.0,1.0,9.0,15.0,5.43441666667,255.446333333,2.17583333333,94867.7973333,272.163916667,1.19566666667
2011-01-09 16:00:00,2011.0,1.0,9.0,16.0,4.61208333333,217.286666667,1.18391666667,94927.6873333,270.412333333,1.198
2011-01-09 17:00:00,2011.0,1.0,9.0,17.0,3.70491666667,183.30525,0.42575,94973.5426667,271.712916667,1.20175
2011-01-09 18:00:00,2011.0,1.0,9.0,18.0,3.89833333333,119.154916667,0.56325,95029.466,271.457166667,1.20541666667
